,amecro,amerob,bewwre,bkcchi,daejun,houfin,houspa,norfli,rewbla,sonspa,spotow,whcspa
amecro,9,0,0,0,0,0,0,1,0,0,0,1
amerob,0,17,3,0,1,1,4,1,3,0,2,0
bewwre,0,2,10,0,5,1,5,0,1,4,4,0
bkcchi,0,1,1,0,0,0,1,0,0,0,1,1
daejun,1,0,1,1,17,0,1,0,0,2,2,4
houfin,0,3,1,0,1,3,8,0,1,0,2,0
houspa,1,5,6,0,10,0,96,1,2,1,3,3
norfli,1,1,0,0,1,0,2,0,0,0,2,1
rewbla,0,4,4,1,3,2,9,0,7,0,7,1
sonspa,0,3,14,3,6,3,1,0,1,10,8,0
spotow,1,0,3,3,3,2,5,0,0,1,9,0
whcspa,0,2,2,0,2,0,2,1,0,1,1,8
