,0
amecro,0.75
amerob,0.4857142857142857
bewwre,0.2597402597402597
bkcchi,0.0
daejun,0.4358974358974359
houfin,0.1935483870967742
houspa,0.732824427480916
norfli,0.0
rewbla,0.2641509433962264
sonspa,0.29411764705882354
spotow,0.2647058823529412
whcspa,0.42105263157894735
